fdc_id,description,calories,carbs_g,fat_g,fiber_g,protein_g,sodium_mg,cat_Baked Products,cat_Beef Products,cat_Cereal Grains and Pasta,cat_Dairy and Egg Products,cat_Fats and Oils,cat_Finfish and Shellfish Products,cat_Fruits and Fruit Juices,"cat_Lamb, Veal, and Game Products",cat_Legumes and Legume Products,cat_Nut and Seed Products,cat_Pork Products,cat_Poultry Products,cat_Restaurant Foods,cat_Sausages and Luncheon Meats,"cat_Soups, Sauces, and Gravies",cat_Spices and Herbs,cat_Sweets,cat_Vegetables and Vegetable Products
2515374,"Nuts, cashew nuts, raw",549.070995,36.2887,38.86,4.104,17.4423,4.759,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2515375,"Nuts, hazelnuts or filberts, raw",621.892335,26.5012,53.49,8.41,13.4938,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2515376,"Peanuts, raw",569.476905,26.498,43.28,8.014,23.205,1.493,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2515377,"Flour, chestnut",384.62643,80.45025,4.636,8.711,5.28675,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2515378,"Nuts, macadamia nuts, raw",690.21714,24.0943,64.93,7.563,7.7857,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2515379,"Nuts, pistachio nuts, raw",579.3339900000001,27.6943,45.02,6.969,20.5057,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2515380,"Seeds, pumpkin seeds (pepitas), raw",534.720585,18.6751,40.03,5.079,29.9079,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2515381,"Seeds, sunflower seed, kernel, raw",590.0535,24.5007,48.44,7.215,18.8733,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2515382,"Flour, coconut",430.655685,58.9025,15.28,34.24,16.1385,46.94,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2644281,"Beans, cannellini, dry",340.909095,59.7955,2.199,0.0,21.5625,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644282,"Chickpeas, (garbanzo beans, bengal gram), dry",377.496345,60.358,6.274,0.0,21.275,8.779,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644283,"Lentils, dry",355.6089,62.17125,1.925,0.0,23.56875,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644284,"Blackeye pea, dry",349.79265,61.836,2.419,0.0,21.225,3.458,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644285,"Beans, black, canned, sodium added, drained and rinsed",116.821665,19.8135,1.273,0.0,6.9125,217.9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644286,"Beans, navy, canned, sodium added, drained and rinsed",117.308325,19.98325,1.398,0.0,6.56875,190.1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644287,"Beans, cannellini, canned, sodium added, drained and rinsed",113.77109999999999,18.8185,1.169,0.0,7.4125,164.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644288,"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",135.096,20.32025,3.096,0.0,7.01875,201.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644289,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",124.89741000000001,21.03,1.256,0.0,7.8,172.3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644290,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",125.108295,21.44675,1.299,0.0,7.30625,158.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644291,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",78.97196249999999,12.707625,1.153,0.0,4.734375,207.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2644292,"Beans, pinto, canned, sodium added, drained and rinsed",115.08337499999999,19.60025,1.266,0.0,6.69375,201.6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644293,"Blackeye pea, canned, sodium added, drained and rinsed",114.4550415,19.1659,1.296,0.0,6.925,226.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2644294,"Beans, great northern, canned, sodium added, drained and rinsed",115.248435,19.32875,1.266,0.0,7.03125,223.1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2646168,"Pork, loin, boneless, raw",170.746035,0.0,9.469,0.0,21.11875,40.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2646169,"Pork, loin, tenderloin, boneless, raw",122.030085,0.0,3.899,0.0,21.58125,41.39,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2646170,"Chicken, breast, boneless, skinless, raw",109.118135,0.0,1.934,0.0,22.525,65.75,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2646171,"Chicken, thigh, boneless, skinless, raw",146.6882375,0.0,7.916,0.0,18.6125,62.33,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2646172,"Beef, ribeye, steak, boneless, choice, raw",256.8607125,0.0,20.04,0.0,18.74375,42.54,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2646173,"Beef, round, top round, boneless, choice, raw",143.535775,0.852,5.703,0.0,21.475,45.54,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2646174,"Beef, chuck, roast, boneless, choice, raw",234.400847,0.0,17.8,0.0,18.4,48.44,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2646175,"Beef, flank, steak, boneless, choice, raw",166.731272,0.0,9.399,0.0,20.13125,51.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2647437,"Yogurt, plain, nonfat",50.037935000000004,8.07675,0.0875,0.0,4.22675,51.48,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2647438,"Cheese, monterey jack, solid",391.233795,1.8979,32.63,0.0,22.6171,662.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2647439,"Cheese, pasteurized process cheese food or product, American, singles",308.831935,8.1898,23.86,0.0,15.5672,1420.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2647440,"Cheese, provolone, sliced",356.847036,2.45312,28.13,0.0,23.45288,600.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2647441,"Cheese, oaxaca, solid",297.60094100000003,2.40202,22.1,0.0,22.14498,734.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2647442,"Cheese, queso fresco, solid",297.51243,2.9572,23.36,0.0,18.8848,626.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2647443,"Cheese, cotija, solid",351.580536,2.72432,27.24,0.0,23.83568,1625.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2684440,"Fish, salmon, sockeye, wild caught, raw",133.10300999999998,0.0,4.936,0.0,22.3,53.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2684441,"Fish, salmon, Atlantic, farm raised, raw",200.20016,0.0,13.11,0.0,20.31875,49.49,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2684442,"Fish, tilapia, farm raised, raw",97.308135,0.0,2.479,0.0,19.0,93.66,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2684443,"Crustaceans, shrimp, farm raised, raw",73.5629665,0.48495,0.8013,0.0,15.56875,474.9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2684444,"Fish, cod, Atlantic, wild caught, raw",68.23128249999999,0.0,0.6675,0.0,16.06875,298.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2684445,"Fish, catfish, farm raised, raw",131.4499485,0.0,7.308,0.0,16.46875,60.51,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2684446,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",83.5073075,0.0,0.8075,0.0,18.65,331.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2685568,"Squash, summer, green, zucchini, includes skin, raw",17.5,3.27,0.205,0.7525,0.984375,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685569,"Squash, summer, yellow, includes skin, raw",20.5,4.39,0.135,0.9563,0.890625,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685570,"Squash, winter, butternut, raw",44.92441075,10.50745,0.1675,1.959,1.14875,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685571,"Squash, winter, acorn, raw",45.2768125,10.48,0.1825,2.635,1.25,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685572,"Cabbage, bok choy, raw",18.63111375,3.51495,0.2338,1.259,1.02375,14.27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685573,"Cauliflower, raw",25.222338875,4.723075,0.2375,1.948,1.640625,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685574,"Collards, raw",42.82604125,7.02225,0.77,3.816,2.96875,18.41,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685575,"Brussels sprouts, raw",54.131853125,9.615625,0.565,4.785,3.984375,25.74,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
